Name;SKU;Description;Saleprice;Regularprice;Image;Category;Vendor;Memory;Status
Apple iPhone 5C 8Gb;apple_iphone_5c_8gb_used;Apple iPhone 5C 8Gb б/у в оригинале в отличном состоянии в любом цвете!;3899;4600;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Blue/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Green/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Pink/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/White/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Yellow/img.jpg;Apple > iPhone 5C;Apple;8Gb;Б/У в оригинале;
Apple iPhone 5C 16Gb;apple_iphone_5c_16gb_rfb;Apple iPhone 5C 16Gb восстановленный до нового в любом цвете!;4799;5600;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Blue/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Green/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Pink/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/White/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Yellow/img.jpg;Apple > iPhone 5C;Apple;16Gb;Восстановленный;
Apple iPhone 5C 16Gb;apple_iphone_5c_16gb_used;Apple iPhone 5C 16Gb б/у в оригинале в отличном состоянии в любом цвете!;4199;5000;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Blue/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Green/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Pink/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/White/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Yellow/img.jpg;Apple > iPhone 5C;Apple;16Gb;Б/У в оригинале;
Apple iPhone 5C 32Gb;apple_iphone_5c_32gb_used;Apple iPhone 5C 32Gb б/у в оригинале в отличном состоянии в любом цвете!;4499;5300;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Blue/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Green/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Pink/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/White/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Yellow/img.jpg;Apple > iPhone 5C;Apple;32Gb;Б/У в оригинале;
Apple iPhone 5S 16Gb;apple_iphone_5s_16gb_rfb;Apple iPhone 5S 16Gb восстановленный до нового в любом цвете!;6099;7100;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Silver/img.jpg;Apple > iPhone 5S;Apple;16Gb;Восстановленный;
Apple iPhone 5S 16Gb;apple_iphone_5s_16gb_used;Apple iPhone 5S 16Gb б/у в оригинале в отличном состоянии в любом цвете!;5599;6500;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Silver/img.jpg;Apple > iPhone 5S;Apple;16Gb;Б/У в оригинале;
Apple iPhone 5S 32Gb;apple_iphone_5s_32gb_rfb;Apple iPhone 5S 32Gb восстановленный до нового в любом цвете!;6999;8000;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Silver/img.jpg;Apple > iPhone 5S;Apple;32Gb;Восстановленный;
Apple iPhone 5S 32Gb;apple_iphone_5s_32gb_used;Apple iPhone 5S 32Gb б/у в оригинале в отличном состоянии в любом цвете!;6799;7800;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Silver/img.jpg;Apple > iPhone 5S;Apple;32Gb;Б/У в оригинале;
Apple iPhone 5S 64Gb;apple_iphone_5s_64gb_used;Apple iPhone 5S 64Gb б/у в оригинале в отличном состоянии в любом цвете!;7199;8300;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5S/Silver/img.jpg;Apple > iPhone 5S;Apple;64Gb;Б/У в оригинале;
Apple iPhone SE 16Gb;apple_iphone_se_16gb_rfb;Apple iPhone SE 16Gb восстановленный до нового в любом цвете!;8399;9600;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/Black/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/Gold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/RoseGold/img.jpg|https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/SE/Silver/img.jpg;Apple > iPhone SE;Apple;16Gb;Восстановленный;
